order_id,customer_id,amount,currency,order_ts
1,9,191.98,EUR,2025-01-01 00:00:00
2,4,146.56,EUR,2025-01-01 12:00:00
3,2,114.04,EUR,2025-01-02 00:00:00
4,6,42.93,EUR,2025-01-02 12:00:00
5,1,116.05,EUR,2025-01-03 00:00:00
6,4,33.72,EUR,2025-01-03 12:00:00
7,1,1.98,EUR,2025-01-04 00:00:00
8,4,39.0,EUR,2025-01-04 12:00:00
9,4,13.64,EUR,2025-01-05 00:00:00
10,6,96.12,EUR,2025-01-05 12:00:00
11,1,74.44,EUR,2025-01-06 00:00:00
12,4,53.23,EUR,2025-01-06 12:00:00
13,1,197.11,EUR,2025-01-07 00:00:00
14,2,42.39,EUR,2025-01-07 12:00:00
15,5,179.34,EUR,2025-01-08 00:00:00
16,1,186.06,EUR,2025-01-08 12:00:00
17,1,177.53,EUR,2025-01-09 00:00:00
18,8,120.89,EUR,2025-01-09 12:00:00
19,6,125.87,EUR,2025-01-10 00:00:00
20,3,45.39,EUR,2025-01-10 12:00:00
21,9,179.66,EUR,2025-01-11 00:00:00
22,10,128.0,EUR,2025-01-11 12:00:00
23,3,72.31,EUR,2025-01-12 00:00:00
24,8,18.12,EUR,2025-01-12 12:00:00
25,2,113.24,EUR,2025-01-13 00:00:00
26,1,4.31,EUR,2025-01-13 12:00:00
27,6,1.18,EUR,2025-01-14 00:00:00
28,1,180.77,EUR,2025-01-14 12:00:00
29,5,1.63,EUR,2025-01-15 00:00:00
30,2,195.25,EUR,2025-01-15 12:00:00
31,9,174.44,EUR,2025-01-16 00:00:00
32,1,158.93,EUR,2025-01-16 12:00:00
33,6,57.2,EUR,2025-01-17 00:00:00
34,7,110.15,EUR,2025-01-17 12:00:00
35,1,195.15,EUR,2025-01-18 00:00:00
36,9,114.14,EUR,2025-01-18 12:00:00
37,4,95.98,EUR,2025-01-19 00:00:00
38,8,114.46,EUR,2025-01-19 12:00:00
39,9,137.51,EUR,2025-01-20 00:00:00
40,4,35.23,EUR,2025-01-20 12:00:00
41,3,29.09,EUR,2025-01-21 00:00:00
42,1,145.82,EUR,2025-01-21 12:00:00
43,5,158.86,EUR,2025-01-22 00:00:00
44,2,85.4,EUR,2025-01-22 12:00:00
45,1,62.18,EUR,2025-01-23 00:00:00
46,3,4.25,EUR,2025-01-23 12:00:00
47,7,39.92,EUR,2025-01-24 00:00:00
48,2,163.73,EUR,2025-01-24 12:00:00
49,10,198.84,EUR,2025-01-25 00:00:00
50,5,5.07,EUR,2025-01-25 12:00:00
