id_facture,date_facture,id_client,montant_ht,montant_ttc,pays,mode_paiement
1,2026-03-02,4,312.1,202.43,ES,PAYPAL
2,2026-03-02,4,219.78,16.45,IT,VIREMENT
3,2026-03-02,3,464.05,257.97,FR,VIREMENT
4,2026-03-02,10,294.32,103.86,DE,CB
5,2026-03-02,8,160.95,544.75,FR,CB
6,2026-03-02,1,310.77,391.14,IT,VIREMENT
7,2026-03-02,10,492.7,509.21,DE,PAYPAL
8,2026-03-02,10,120.23,477.37,FR,VIREMENT
9,2026-03-02,3,222.27,104.29,DE,CHEQUE
10,2026-03-02,5,482.96,101.48,DE,CHEQUE
11,2026-03-02,7,311.57,191.97,ES,CHEQUE
12,2026-03-02,4,117.77,281.09,ES,CHEQUE
13,2026-03-02,4,12.11,564.05,FR,CHEQUE
14,2026-03-02,7,306.25,417.38,IT,CB
15,2026-03-02,8,384.11,579.89,ES,VIREMENT
