id_facture,date_facture,id_client,montant_ht,montant_ttc,pays,mode_paiement
1,2026-02-25,10,14.74,286.94,DE,PAYPAL
2,2026-02-25,6,106.8,522.18,ES,CB
3,2026-02-25,8,174.76,269.46,ES,VIREMENT
4,2026-02-25,1,261.51,573.34,ES,CB
5,2026-02-25,5,466.96,82.72,DE,CB
6,2026-02-25,6,71.52,311.15,ES,VIREMENT
7,2026-02-25,7,372.18,326.42,ES,VIREMENT
8,2026-02-25,3,158.48,131.43,DE,CHEQUE
9,2026-02-25,10,322.64,472.36,ES,VIREMENT
10,2026-02-25,5,27.63,255.5,ES,VIREMENT
11,2026-02-25,9,371.43,414.7,FR,PAYPAL
12,2026-02-25,8,24.58,68.96,DE,CHEQUE
13,2026-02-25,5,139.66,525.4,DE,CB
14,2026-02-25,6,213.5,121.47,ES,PAYPAL
15,2026-02-25,7,173.57,221.61,IT,CB
16,2026-02-25,2,248.95,566.96,DE,VIREMENT
17,2026-02-25,9,479.49,297.71,IT,VIREMENT
18,2026-02-25,7,53.91,170.52,ES,PAYPAL
19,2026-02-25,10,263.57,45.7,FR,CB
20,2026-02-25,4,466.92,404.36,IT,PAYPAL
